protein_id,accession,prophage_id,original_product,length_aa,putative_function,nearest_neighbor_protein_id,nearest_neighbor_prophage_id,cosine_similarity,confidence
GCF_000165775.1__pp2__1078648-1089876__R0052_RS05520,GCF_000165775.1,pp2,hypothetical protein,152,pyridoxamine 5'-phosphate oxidase family protein,GCF_000026505.1__pp1__1102527-1140943__LGG_RS05215,pp1,0.9842,high
GCF_000165775.1__pp2__1078648-1089876__R0052_RS05550,GCF_000165775.1,pp2,hypothetical protein,145,RusA family crossover junction endodeoxyribonuclease,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09390,pp2,0.9799,high
GCF_000165775.1__pp3__1750321-1777635__R0052_RS08870,GCF_000165775.1,pp3,hypothetical protein,79,DUF5049 domain-containing protein,GCF_000014425.1__pp2__1464980-1483558__LGAS_RS07280,pp2,0.9838,high
GCF_000165775.1__pp3__1750321-1777635__R0052_RS08880,GCF_000165775.1,pp3,hypothetical protein,71,DUF6275 family protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04435,pp2,0.9863,high
GCF_000165775.1__pp3__1750321-1777635__R0052_RS08915,GCF_000165775.1,pp3,hypothetical protein,76,Prophage Lp2 protein 41,GCA_000392485.2__pp2__2026993-2083990__LBP_cg1989,pp2,0.9807,high
GCF_000165775.1__pp3__1750321-1777635__R0052_RS08920,GCF_000165775.1,pp3,hypothetical protein,227,DUF1828 domain-containing protein,GCF_014131735.1__pp1__1061088-1107946__E5260_RS04750,pp1,0.9883,high
GCF_000165775.1__pp3__1750321-1777635__R0052_RS12645,GCF_000165775.1,pp3,hypothetical protein,42,IS66 family insertion sequence element accessory protein TnpB,GCF_041888805.1__pp2__343838-371175__ACEPPB_RS01670,pp2,0.9526,high
GCF_000165775.1__pp3__1750321-1777635__R0052_RS08940,GCF_000165775.1,pp3,hypothetical protein,464,DUF1828 domain-containing protein,GCF_000008065.1__pp1__327894-370611__LJ_RS01510,pp1,0.9772,high
GCF_000165775.1__pp3__1750321-1777635__R0052_RS08945,GCF_000165775.1,pp3,hypothetical protein,69,head-tail connector protein,GCF_041888805.1__pp4__1529913-1535609__ACEPPB_RS07535,pp4,0.9847,high
GCF_000165775.1__pp3__1750321-1777635__R0052_RS08975,GCF_000165775.1,pp3,hypothetical protein,84,FRG domain-containing protein,GCF_000412205.1__pp3__656-20092__LP16_RS14855,pp3,0.9697,high
GCF_000165775.1__pp3__1750321-1777635__R0052_RS08980,GCF_000165775.1,pp3,hypothetical protein,60,phage head closure protein,GCF_041888805.1__pp4__1529913-1535609__ACEPPB_RS07540,pp4,0.9687,high
GCF_000165775.1__pp3__1750321-1777635__R0052_RS08985,GCF_000165775.1,pp3,hypothetical protein,109,DUF1828 domain-containing protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS10330,pp4,0.9825,high
GCF_000165775.1__pp3__1750321-1777635__R0052_RS08995,GCF_000165775.1,pp3,hypothetical protein,169,GH25 family lysozyme,GCF_000338115.2__pp3__2072879-2122999__ZJ316_RS09730,pp3,0.9522,high
GCF_000165775.1__pp3__1750321-1777635__R0052_RS09000,GCF_000165775.1,pp3,hypothetical protein,236,phage lysin,GCF_000023085.1__pp2__513673-552269__JDM1_RS15785,pp2,0.9595,high
GCF_000165775.1__pp3__1750321-1777635__R0052_RS12470,GCF_000165775.1,pp3,hypothetical protein,82,potassium-transporting ATPase subunit KdpC,GCF_000148815.2__pp5__12196-41603__LPST_RS15250,pp5,0.9718,high
GCF_000203855.3__pp1__590128-628381__LP_RS15700,GCF_000203855.3,pp1,hypothetical protein,58,crAss001_48 related protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04365,pp2,0.9835,high
GCF_000203855.3__pp1__590128-628381__LP_RS02740,GCF_000203855.3,pp1,hypothetical protein,104,DUF806 family protein,GCF_000016825.1__pp3__1162622-1201468__LREU_RS05825,pp3,0.9889,high
GCF_000203855.3__pp1__590128-628381__LP_RS02755,GCF_000203855.3,pp1,hypothetical protein,60,phage head-tail connector protein,GCF_000203855.3__pp1__590128-628381__LP_RS02880,pp1,0.9865,high
GCF_000203855.3__pp1__590128-628381__LP_RS02760,GCF_000203855.3,pp1,hypothetical protein,171,head-tail connector protein,GCF_001704335.1__pp3__1024001-1037032__AVR83_RS04965,pp3,0.9733,high
GCF_000203855.3__pp1__590128-628381__LP_RS16025,GCF_000203855.3,pp1,hypothetical protein,42,ASCH domain-containing protein,GCF_000008065.1__pp1__327894-370611__LJ_RS01620,pp1,0.9838,high
GCF_000203855.3__pp1__590128-628381__LP_RS02790,GCF_000203855.3,pp1,hypothetical protein,95,Prophage Lp2 protein 21,GCA_000392485.2__pp2__2026993-2083990__LBP_cg2007,pp2,0.9988,high
GCF_000203855.3__pp1__590128-628381__LP_RS02795,GCF_000203855.3,pp1,hypothetical protein,176,ASCH domain-containing protein,GCF_000008065.1__pp1__327894-370611__LJ_RS01620,pp1,0.9846,high
GCF_000203855.3__pp1__590128-628381__LP_RS02800,GCF_000203855.3,pp1,hypothetical protein,177,Prophage Lp2 protein 23,GCA_000392485.2__pp2__2026993-2083990__LBP_cg2006,pp2,0.9967,high
GCF_000203855.3__pp1__590128-628381__LP_RS02810,GCF_000203855.3,pp1,hypothetical protein,76,ASCH domain-containing protein,GCF_000165775.1__pp2__1078648-1089876__R0052_RS05540,pp2,0.9869,high
GCF_000203855.3__pp1__590128-628381__LP_RS02815,GCF_000203855.3,pp1,hypothetical protein,123,phage head closure protein,GCF_041888805.1__pp4__1529913-1535609__ACEPPB_RS07540,pp4,0.9882,high
GCF_000203855.3__pp1__590128-628381__LP_RS02820,GCF_000203855.3,pp1,hypothetical protein,60,sporulation protein Cse60,GCF_000008065.1__pp2__1286306-1330377__LJ_RS06240,pp2,0.9832,high
GCF_000203855.3__pp1__590128-628381__LP_RS15705,GCF_000203855.3,pp1,hypothetical protein,55,Prophage Lp1 protein 32,GCA_000392485.2__pp1__1695128-1736475__LBP_cg1662,pp1,0.9913,high
GCF_000203855.3__pp1__590128-628381__LP_RS02845,GCF_000203855.3,pp1,hypothetical protein,260,DUF4393 domain-containing protein,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09470,pp2,0.9742,high
GCF_000203855.3__pp1__590128-628381__LP_RS15710,GCF_000203855.3,pp1,hypothetical protein,49,DUF6877 family protein,GCF_000203855.3__pp3__2163938-2219895__LP_RS10380,pp3,0.9848,high
GCF_000203855.3__pp1__590128-628381__LP_RS02885,GCF_000203855.3,pp1,hypothetical protein,124,head-tail connector protein,GCF_000014425.1__pp1__600763-679301__LGAS_RS03015,pp1,0.9708,high
GCF_000203855.3__pp1__590128-628381__LP_RS02890,GCF_000203855.3,pp1,HK97-gp10 family putative phage morphogenesis protein,184,Prophage Lp2 protein 43,GCA_000392485.2__pp2__2026993-2083990__LBP_cg1987,pp2,0.9988,high
GCF_000203855.3__pp1__590128-628381__LP_RS02895,GCF_000203855.3,pp1,hypothetical protein,128,DUF3168 domain-containing protein,GCF_001704335.1__pp4__2129360-2166303__AVR83_RS10070,pp4,0.997,high
GCF_000203855.3__pp1__590128-628381__LP_RS02910,GCF_000203855.3,pp1,hypothetical protein,78,Prophage Lp2 protein 47,GCA_000392485.2__pp2__2026993-2083990__LBP_cg1983,pp2,0.9983,high
GCF_000203855.3__pp1__590128-628381__LP_RS02940,GCF_000203855.3,pp1,hypothetical protein,246,Phage major tail protein,GCA_000392485.2__pp1__1695128-1736475__LBP_cg1647,pp1,0.9845,high
GCF_000203855.3__pp1__590128-628381__LP_RS02960,GCF_000203855.3,pp1,hypothetical protein,98,hemolysin XhlA family protein,GCF_000023085.1__pp3__1024428-1064020__JDM1_RS05025,pp3,0.9736,high
GCF_000203855.3__pp2__873764-893663__LP_RS04075,GCF_000203855.3,pp2,putative metal homeostasis protein,39,phage terminase small subunit P27 family,GCF_000026505.1__pp2__1528627-1569239__LGG_RS07350,pp2,0.955,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10250,GCF_000203855.3,pp3,hypothetical protein,98,hemolysin XhlA family protein,GCF_000023085.1__pp3__1024428-1064020__JDM1_RS05025,pp3,0.9749,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10260,GCF_000203855.3,pp3,hypothetical protein,79,Prophage Lp2 protein 54,GCA_000392485.2__pp1__1695128-1736475__LBP_cg1637,pp1,0.9933,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10275,GCF_000203855.3,pp3,hypothetical protein,85,Prophage Lp1 protein 55,GCA_000392485.2__pp2__2026993-2083990__LBP_cg1977,pp2,0.9735,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10295,GCF_000203855.3,pp3,hypothetical protein,94,Prophage Lp2 protein 47,GCA_000392485.2__pp2__2026993-2083990__LBP_cg1983,pp2,0.9875,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10315,GCF_000203855.3,pp3,HK97-gp10 family putative phage morphogenesis protein,184,Prophage Lp2 protein 43,GCA_000392485.2__pp2__2026993-2083990__LBP_cg1987,pp2,0.9993,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10320,GCF_000203855.3,pp3,hypothetical protein,107,Prophage Lp2 protein 42,GCA_000392485.2__pp2__2026993-2083990__LBP_cg1988,pp2,0.9967,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10360,GCF_000203855.3,pp3,hypothetical protein,87,RusA family crossover junction endodeoxyribonuclease,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09390,pp2,0.9876,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS16135,GCF_000203855.3,pp3,hypothetical protein,59,RusA family crossover junction endodeoxyribonuclease,GCF_000248095.2__pp2__574154-622103__LBLM1_RS02915,pp2,0.9651,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10385,GCF_000203855.3,pp3,hypothetical protein,97,phage head-tail connector protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04450,pp2,0.9811,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS16050,GCF_000203855.3,pp3,hypothetical protein,43,DUF1056 family protein,GCF_000338115.2__pp3__2072879-2122999__ZJ316_RS09820,pp3,0.9825,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10390,GCF_000203855.3,pp3,hypothetical protein,103,sporulation protein Cse60,GCF_000008065.1__pp2__1286306-1330377__LJ_RS06240,pp2,0.9863,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS15770,GCF_000203855.3,pp3,hypothetical protein,55,phage terminase small subunit P27 family,GCF_000016825.1__pp1__733651-741034__LREU_RS03595,pp1,0.9633,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10405,GCF_000203855.3,pp3,hypothetical protein,172,Prophage Lp2 protein 23,GCA_000392485.2__pp2__2026993-2083990__LBP_cg2006,pp2,0.9978,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10410,GCF_000203855.3,pp3,hypothetical protein,176,ASCH domain-containing protein,GCF_000008065.1__pp1__327894-370611__LJ_RS01620,pp1,0.9846,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10415,GCF_000203855.3,pp3,hypothetical protein,95,Prophage Lp2 protein 21,GCA_000392485.2__pp2__2026993-2083990__LBP_cg2007,pp2,0.9813,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10435,GCF_000203855.3,pp3,hypothetical protein,169,host-nuclease inhibitor Gam family protein,GCF_001704335.1__pp4__2129360-2166303__AVR83_RS09930,pp4,0.9907,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS16055,GCF_000203855.3,pp3,hypothetical protein,43,AbrB family transcriptional regulator,GCF_041888805.1__pp5__1559525-1628400__ACEPPB_RS08015,pp5,0.949,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS16060,GCF_000203855.3,pp3,hypothetical protein,42,ASCH domain-containing protein,GCF_000008065.1__pp1__327894-370611__LJ_RS01620,pp1,0.9818,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS15775,GCF_000203855.3,pp3,hypothetical protein,46,CD1375 family protein,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS14285,pp2,0.9901,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS15780,GCF_000203855.3,pp3,hypothetical protein,58,crAss001_48 related protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04365,pp2,0.9831,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10520,GCF_000203855.3,pp3,hypothetical protein,68,Prophage Lp3 protein 24,GCA_000392485.2__pp2__2026993-2083990__LBP_cg2019,pp2,1.0,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10530,GCF_000203855.3,pp3,hypothetical protein,101,DUF3278 domain-containing protein,GCF_041888805.1__pp8__2084984-2096462__ACEPPB_RS10390,pp8,0.9824,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10535,GCF_000203855.3,pp3,hypothetical protein,123,Prophage Lp3 protein 20,GCA_000392485.2__pp2__2026993-2083990__LBP_cg2021,pp2,0.9995,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10555,GCF_000203855.3,pp3,hypothetical protein,66,DUF1056 family protein,GCF_014131735.1__pp2__2214048-2255622__E5260_RS10485,pp2,0.9783,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10580,GCF_000203855.3,pp3,hypothetical protein,63,sporulation protein Cse60,GCF_000008065.1__pp2__1286306-1330377__LJ_RS06240,pp2,0.9925,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10585,GCF_000203855.3,pp3,hypothetical protein,157,prophage P3 protein 9,GCF_000203855.3__pp4__2999326-3007279__LP_RS14120,pp4,0.9878,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10600,GCF_000203855.3,pp3,hypothetical protein,84,crAss001_48 related protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04365,pp2,0.9667,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10605,GCF_000203855.3,pp3,hypothetical protein,67,helix-turn-helix domain-containing protein,GCF_000008065.1__pp1__327894-370611__LJ_RS01540,pp1,0.9775,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10620,GCF_000203855.3,pp3,hypothetical protein,77,head-tail connector protein,GCF_000338115.2__pp4__2405913-2448170__ZJ316_RS11500,pp4,0.9655,high
GCF_000203855.3__pp3__2163938-2219895__LP_RS10625,GCF_000203855.3,pp3,hypothetical protein,90,phage head-tail connector protein,GCF_001704335.1__pp4__2129360-2166303__AVR83_RS10055,pp4,0.9644,high
GCF_000203855.3__pp4__2999326-3007279__LP_RS14115,GCF_000203855.3,pp4,hypothetical protein,58,sporulation protein Cse60,GCF_000008065.1__pp2__1286306-1330377__LJ_RS06240,pp2,0.9811,high
GCF_000203855.3__pp4__2999326-3007279__LP_RS14135,GCF_000203855.3,pp4,hypothetical protein,73,preprotein translocase subunit TatB,GCF_041888805.1__pp4__1529913-1535609__ACEPPB_RS07570,pp4,0.9724,high
GCF_000203855.3__pp4__2999326-3007279__LP_RS14140,GCF_000203855.3,pp4,hypothetical protein,142,head-tail connector protein,GCF_001704335.1__pp6__3166433-3209564__AVR83_RS15155,pp6,0.9615,high
GCF_000203855.3__pp4__2999326-3007279__LP_RS14145,GCF_000203855.3,pp4,hypothetical protein,98,helix-turn-helix domain-containing protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10425,pp5,0.9805,high
GCF_000248095.2__pp1__180654-189521__LBLM1_RS11400,GCF_000248095.2,pp1,hypothetical protein,156,Prophage Lp4 protein 12,GCA_000392485.2__pp2__2026993-2083990__LBP_cg2032,pp2,0.9875,high
GCF_000248095.2__pp1__180654-189521__LBLM1_RS00865,GCF_000248095.2,pp1,hypothetical protein,111,"prophage P3 protein 11, DNA replication",GCF_000203855.3__pp4__2999326-3007279__LP_RS14110,pp4,0.9854,high
GCF_000248095.2__pp1__180654-189521__LBLM1_RS00870,GCF_000248095.2,pp1,hypothetical protein,107,phage tail assembly chaperone G,GCF_000023085.1__pp2__513673-552269__JDM1_RS02570,pp2,0.9837,high
GCF_000248095.2__pp1__180654-189521__LBLM1_RS00875,GCF_000248095.2,pp1,hypothetical protein,72,SHOCT domain-containing protein,GCF_041888805.1__pp5__1559525-1628400__ACEPPB_RS08050,pp5,0.9327,high
GCF_000248095.2__pp1__180654-189521__LBLM1_RS00880,GCF_000248095.2,pp1,hypothetical protein,81,crAss001_48 related protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04365,pp2,0.9805,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS02850,GCF_000248095.2,pp2,hypothetical protein,62,phage head-tail connector protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10550,pp5,0.9808,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS11940,GCF_000248095.2,pp2,hypothetical protein,55,energy-coupling factor ABC transporter substrate-binding protein,GCF_041888805.1__pp7__1962103-2002786__ACEPPB_RS09780,pp7,0.974,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS12190,GCF_000248095.2,pp2,hypothetical protein,43,protein-tyrosine phosphatase family protein,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09445,pp2,0.9607,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS02880,GCF_000248095.2,pp2,putative HNHc nuclease,227,DUF771 domain-containing protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS10260,pp4,0.9849,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS02885,GCF_000248095.2,pp2,hypothetical protein,69,DUF6877 family protein,GCF_000203855.3__pp3__2163938-2219895__LP_RS10380,pp3,0.9904,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS02890,GCF_000248095.2,pp2,hypothetical protein,82,DUF6978 family protein,GCF_000008065.1__pp1__327894-370611__LJ_RS01515,pp1,0.9723,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS02905,GCF_000248095.2,pp2,hypothetical protein,74,eL43 family ribosomal protein,GCF_001704335.1__pp4__2129360-2166303__AVR83_RS09965,pp4,0.9661,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS11945,GCF_000248095.2,pp2,hypothetical protein,57,DUF1056 family protein,GCF_001704335.1__pp6__3166433-3209564__AVR83_RS15175,pp6,0.9882,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS02910,GCF_000248095.2,pp2,hypothetical protein,60,DUF1056 family protein,GCF_000016825.1__pp3__1162622-1201468__LREU_RS10250,pp3,0.9823,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS02920,GCF_000248095.2,pp2,hypothetical protein,166,DUF6275 family protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10510,pp5,0.9908,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS02925,GCF_000248095.2,pp2,hypothetical protein,84,phage head closure protein,GCF_041888805.1__pp4__1529913-1535609__ACEPPB_RS07540,pp4,0.9833,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS02930,GCF_000248095.2,pp2,hypothetical protein,89,DUF6275 family protein,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10510,pp5,0.9896,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS02935,GCF_000248095.2,pp2,hypothetical protein,59,DUF1056 family protein,GCF_001704335.1__pp1__2461-18355__AVR83_RS00075,pp1,0.9909,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS02980,GCF_000248095.2,pp2,hypothetical protein,75,head protein,GCF_000008065.1__pp2__1286306-1330377__LJ_RS06195,pp2,0.9894,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS03005,GCF_000248095.2,pp2,hypothetical protein,102,ASCH domain-containing protein,GCF_000008065.1__pp1__327894-370611__LJ_RS01620,pp1,0.9869,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS03010,GCF_000248095.2,pp2,HK97-gp10 family putative phage morphogenesis protein,128,Prophage Lp2 protein 43,GCA_000392485.2__pp2__2026993-2083990__LBP_cg1987,pp2,0.9677,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS03030,GCF_000248095.2,pp2,hypothetical protein,130,phage terminase small subunit P27 family,GCF_000016825.1__pp3__1162622-1201468__LREU_RS05875,pp3,0.9881,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS11950,GCF_000248095.2,pp2,hypothetical protein,58,CD1375 family protein,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS14285,pp2,0.9875,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS03065,GCF_000248095.2,pp2,hypothetical protein,147,phage tail protein,GCF_000016825.1__pp3__1162622-1201468__LREU_RS05820,pp3,0.9855,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS03070,GCF_000248095.2,pp2,hypothetical protein,122,DUF2977 domain-containing protein,GCF_000203855.3__pp1__590128-628381__LP_RS02945,pp1,0.9786,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS03085,GCF_000248095.2,pp2,hypothetical protein,353,BppU family phage baseplate upper protein,GCF_000412205.1__pp2__2033545-2090819__LP16_RS09585,pp2,0.9838,high
GCF_000248095.2__pp2__574154-622103__LBLM1_RS03090,GCF_000248095.2,pp2,hypothetical protein,114,RusA family crossover junction endodeoxyribonuclease,GCF_000014525.1__pp2__1905582-1950646__LSEI_RS09390,pp2,0.9864,high
GCF_000338115.2__pp1__1043085-1062922__ZJ316_RS15810,GCF_000338115.2,pp1,putative metal homeostasis protein,39,phage terminase small subunit P27 family,GCF_000026505.1__pp2__1528627-1569239__LGG_RS07350,pp2,0.955,high
GCF_000338115.2__pp1__1043085-1062922__ZJ316_RS04815,GCF_000338115.2,pp1,hypothetical protein,410,helix-turn-helix domain-containing protein,GCF_000203855.3__pp2__873764-893663__LP_RS04130,pp2,0.9997,high
GCF_000338115.2__pp1__1043085-1062922__ZJ316_RS04820,GCF_000338115.2,pp1,hypothetical protein,88,XkdX family protein,GCF_000026505.1__pp1__1102527-1140943__LGG_RS14710,pp1,0.9539,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06610,GCF_000338115.2,pp2,hypothetical protein,170,RusA family crossover junction endodeoxyribonuclease,GCF_000203855.3__pp1__590128-628381__LP_RS02805,pp1,0.9631,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06615,GCF_000338115.2,pp2,hypothetical protein,95,heavy metal-binding domain-containing protein,GCF_000148815.2__pp3__1793105-1845954__LPST_RS08580,pp3,0.9593,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06640,GCF_000338115.2,pp2,hypothetical protein,207,DUF4352 domain-containing protein,GCF_014131735.1__pp2__2214048-2255622__E5260_RS10650,pp2,0.989,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06645,GCF_000338115.2,pp2,hypothetical protein,146,DUF1828 domain-containing protein,GCF_014131735.1__pp1__1061088-1107946__E5260_RS04750,pp1,0.9878,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06660,GCF_000338115.2,pp2,hypothetical protein,69,helix-turn-helix domain-containing protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS10275,pp4,0.973,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06675,GCF_000338115.2,pp2,hypothetical protein,93,DUF771 domain-containing protein,GCF_001704335.1__pp6__3166433-3209564__AVR83_RS15265,pp6,0.9841,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS16550,GCF_000338115.2,pp2,hypothetical protein,58,RusA family crossover junction endodeoxyribonuclease,GCF_001704335.1__pp5__2192291-2268807__AVR83_RS10450,pp5,0.9833,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS15880,GCF_000338115.2,pp2,hypothetical protein,61,Prophage Lp2 protein 21,GCA_000392485.2__pp2__2026993-2083990__LBP_cg2007,pp2,0.9788,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS16555,GCF_000338115.2,pp2,hypothetical protein,56,IS66 family insertion sequence element accessory protein TnpB,GCF_041888805.1__pp2__343838-371175__ACEPPB_RS01670,pp2,0.9861,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06695,GCF_000338115.2,pp2,hypothetical protein,207,phage major capsid protein,GCF_000010145.1__pp2__531913-574579__LAF_RS02735,pp2,0.9756,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06700,GCF_000338115.2,pp2,hypothetical protein,184,DUF1617 family protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS10075,pp4,0.9894,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06730,GCF_000338115.2,pp2,hypothetical protein,103,DUF5049 domain-containing protein,GCF_000014425.1__pp2__1464980-1483558__LGAS_RS07280,pp2,0.9853,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06735,GCF_000338115.2,pp2,hypothetical protein,137,Prophage Lp3 protein 20,GCA_000392485.2__pp2__2026993-2083990__LBP_cg2021,pp2,0.9768,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS15590,GCF_000338115.2,pp2,hypothetical protein,229,phage holin,GCF_000014425.1__pp1__600763-679301__LGAS_RS03115,pp1,0.9774,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06750,GCF_000338115.2,pp2,hypothetical protein,71,head-tail connector protein,GCF_000010145.1__pp2__531913-574579__LAF_RS02740,pp2,0.9887,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06760,GCF_000338115.2,pp2,hypothetical protein,80,KTSC domain-containing protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS10195,pp4,0.9868,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06765,GCF_000338115.2,pp2,hypothetical protein,83,DUF6275 family protein,GCF_000016825.1__pp2__869104-911067__LREU_RS04435,pp2,0.9817,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06795,GCF_000338115.2,pp2,hypothetical protein,101,phage head-tail connector protein,GCF_000248095.2__pp2__574154-622103__LBLM1_RS03000,pp2,0.9901,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06800,GCF_000338115.2,pp2,hypothetical protein,129,phage head closure protein,GCF_001704335.1__pp1__2461-18355__AVR83_RS00050,pp1,0.9844,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06810,GCF_000338115.2,pp2,hypothetical protein,140,gp17 family tail completion protein,GCF_000248095.2__pp2__574154-622103__LBLM1_RS03015,pp2,0.9919,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06825,GCF_000338115.2,pp2,hypothetical protein,73,bacteriocin immunity protein,GCF_000389675.2__pp1__1807540-1828028__LA14_RS08925,pp1,0.9648,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS16770,GCF_000338115.2,pp2,hypothetical protein,58,BC1881 family protein,GCF_000148815.2__pp4__2142373-2187941__LPST_RS16175,pp4,0.9806,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06855,GCF_000338115.2,pp2,hypothetical protein,126,DUF1056 family protein,GCF_001704335.1__pp1__2461-18355__AVR83_RS00075,pp1,0.98,high
GCF_000338115.2__pp2__1430063-1473182__ZJ316_RS06860,GCF_000338115.2,pp2,hypothetical protein,69,phage holin,GCF_000008065.1__pp1__327894-370611__LJ_RS01735,pp1,0.964,high
GCF_000338115.2__pp3__2072879-2122999__ZJ316_RS09735,GCF_000338115.2,pp3,hypothetical protein,70,Prophage Lp2 protein 54,GCA_000392485.2__pp1__1695128-1736475__LBP_cg1637,pp1,0.9931,high
GCF_000338115.2__pp3__2072879-2122999__ZJ316_RS16580,GCF_000338115.2,pp3,hypothetical protein,53,Prophage Lp2 protein 54,GCA_000392485.2__pp1__1695128-1736475__LBP_cg1637,pp1,0.9459,high
